TIME,MAX,CURRENT,MIN,PERCENT,the_required,count,maxx,new fitting,x
2/5/2021 16:01,1576,1576,1080,100.00%,100,953,953,93.53276699,15.76
2/5/2021 16:04,1576,1576,1080,100.00%,99.89506821,952,953,93.53276699,15.76
2/5/2021 16:06,1605,1605,1080,100.00%,99.79013641,951,953,95.7276537,16.05
2/5/2021 16:11,1605,1604,1080,99.81%,99.68520462,950,953,95.69018336,16.04
2/5/2021 16:16,1605,1601,1080,99.24%,99.58027282,949,953,95.56071052,16.01
2/5/2021 16:21,1605,1603,1080,99.62%,99.47534103,948,953,95.64986026,16.03
2/5/2021 16:26,1605,1600,1080,99.05%,99.37040923,947,953,95.51191124,16
2/5/2021 16:31,1605,1600,1080,99.05%,99.26547744,946,953,95.51191124,16
2/5/2021 16:36,1605,1598,1080,98.67%,99.16054565,945,953,95.40593219,15.98
2/5/2021 16:36,1605,1598,1080,98.67%,99.05561385,944,953,95.40593219,15.98
2/5/2021 16:41,1605,1599,1080,98.86%,98.95068206,943,953,95.4603139,15.99
2/5/2021 16:46,1605,1596,1080,98.29%,98.84575026,942,953,95.28887036,15.96
2/5/2021 16:51,1605,1597,1080,98.48%,98.74081847,941,953,95.34877978,15.97
2/5/2021 16:56,1605,1596,1080,98.29%,98.63588667,940,953,95.28887036,15.96
2/5/2021 17:01,1605,1594,1080,97.90%,98.53095488,939,953,95.16083514,15.94
2/5/2021 17:06,1605,1594,1080,97.90%,98.42602308,938,953,95.16083514,15.94
2/5/2021 17:08,1605,1594,1080,97.90%,98.32109129,937,953,95.16083514,15.94
2/5/2021 17:11,1605,1594,1080,97.90%,98.2161595,936,953,95.16083514,15.94
2/5/2021 17:16,1605,1594,1080,97.90%,98.1112277,935,953,95.16083514,15.94
2/5/2021 17:21,1605,1591,1080,97.33%,98.00629591,934,953,94.94844652,15.91
2/5/2021 17:24,1605,1591,1080,97.33%,97.90136411,933,953,94.94844652,15.91
2/5/2021 17:26,1605,1589,1080,96.95%,97.79643232,932,953,94.79345646,15.89
2/5/2021 17:31,1605,1589,1080,96.95%,97.69150052,931,953,94.79345646,15.89
2/5/2021 17:36,1605,1589,1080,96.95%,97.58656873,930,953,94.79345646,15.89
2/5/2021 17:41,1605,1588,1080,96.76%,97.48163694,929,953,94.71198317,15.88
2/5/2021 17:46,1605,1588,1080,96.76%,97.37670514,928,953,94.71198317,15.88
2/5/2021 17:51,1605,1586,1080,96.38%,97.27177335,927,953,94.54114841,15.86
2/5/2021 17:54,1605,1586,1080,96.38%,97.16684155,926,953,94.54114841,15.86
2/5/2021 17:56,1605,1587,1080,96.57%,97.06190976,925,953,94.62787593,15.87
2/5/2021 18:01,1605,1584,1080,96.00%,96.95697796,924,953,94.35988728,15.84
2/5/2021 18:06,1605,1583,1080,95.81%,96.85204617,923,953,94.26538101,15.83
2/5/2021 18:11,1605,1583,1080,95.81%,96.74711438,922,953,94.26538101,15.83
2/5/2021 18:16,1605,1584,1080,96.00%,96.64218258,921,953,94.35988728,15.84
2/5/2021 18:19,1605,1584,1080,96.00%,96.53725079,920,953,94.35988728,15.84
2/5/2021 18:21,1605,1582,1080,95.62%,96.43231899,919,953,94.16830917,15.82
